Address,Current_Code,Suggested_Code,Confidence,Description,Nearby_Count,Latitude,Longitude
"4 CANAL PK #701",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #702",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #703",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #704",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #705",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #706",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #707",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #708",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #709",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #710",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #711",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #712",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #PH1",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #PH2",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #PH3",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #PH4",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #PH5",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #PH6",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #PH7",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #PH8",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #PH9",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #PH10",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #PH11",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"4 CANAL PK #PH12",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"6 CANAL PK #101/2",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"6 CANAL PK #102/2",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"6 CANAL PK #103/2",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"6 CANAL PK #104/2",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"6 CANAL PK #105/2",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"6 CANAL PK #106/2",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"6 CANAL PK #107/2",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"6 CANAL PK #201/2",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
"6 CANAL PK #202/2",1021,346,0.167,"Unknown",12,902187.696839,235042.143130
