PROP_ID,LOC_ID,SITE_ADDR,current_use_code,nearby_count,suggestion_1_code,suggestion_1_confidence,suggestion_1_reason,suggestion_1_description
"17-85","F_769501_2959384","184 THIRD ST",199,172,102,0.547,"94/172 nearby properties (54.7%); Code: Condominium","Condominium"
"17-86","F_769515_2959410","180 THIRD ST",199,166,102,0.542,"90/166 nearby properties (54.2%); Code: Condominium","Condominium"
"18-25","F_770079_2960247","32 SECOND ST",199,224,102,0.907,"203/224 nearby properties (90.7%); Code: Condominium","Condominium"
"18-26","F_770083_2960272","30 SECOND ST",199,223,102,0.911,"203/223 nearby properties (91.1%); Code: Condominium","Condominium"
"18-47","F_770259_2960285","1 FIRST ST",199,149,102,0.777,"115/149 nearby properties (77.7%); Code: Condominium","Condominium"
"18-74","F_770235_2960023","21 THORNDIKE ST",346,235,102,0.918,"215/235 nearby properties (91.8%); Code: Condominium","Condominium"
"19-10","F_769648_2959562","77 HURLEY ST",031,156,102,0.549,"85/156 nearby properties (54.9%); Code: Condominium","Condominium"
"19-18","F_769853_2959603","87 SECOND ST",013,95,102,0.588,"55/95 nearby properties (58.8%); Code: Condominium","Condominium"
"19-22","F_769766_2959852","48 THORNDIKE ST",034,157,102,0.474,"74/157 nearby properties (47.4%); Code: Condominium","Condominium"
"19-28","F_769585_2959568","158 THIRD ST",199,156,102,0.545,"85/156 nearby properties (54.5%); Code: Condominium","Condominium"
"19-35","F_769769_2959534","22 LOPEZ AVE",199,106,102,0.478,"50/106 nearby properties (47.8%); Code: Condominium","Condominium"
"19-36","F_769606_2959696","134 THIRD ST",199,140,102,0.517,"72/140 nearby properties (51.7%); Code: Condominium","Condominium"
"19-44","F_769842_2959508","97 SECOND ST",199,92,102,0.608,"55/92 nearby properties (60.8%); Code: Condominium","Condominium"
"19-45","F_769812_2959513","57 HURLEY ST",199,100,102,0.585,"58/100 nearby properties (58.5%); Code: Condominium","Condominium"
"19-53","F_769821_2959661","40 SPRING ST",199,98,102,0.482,"47/98 nearby properties (48.2%); Code: Condominium","Condominium"
"19-56","F_769668_2959697","46 SPRING ST",199,120,102,0.505,"60/120 nearby properties (50.5%); Code: Condominium","Condominium"
"1A-6","F_770326_2960798","169 MONSIGNOR OBRIEN HWY",199,244,102,0.843,"205/244 nearby properties (84.3%); Code: Condominium","Condominium"
"1A-191","F_771341_2960718","320 MORGAN AVE",013,788,102,0.984,"775/788 nearby properties (98.4%); Code: Condominium","Condominium"
"1A-87","F_771151_2960336","2 LEIGHTON ST",011,953,102,0.986,"939/953 nearby properties (98.6%); Code: Condominium","Condominium"
"1A-105","F_772192_2960109","1 EDUCATION ST",346,444,102,0.986,"437/444 nearby properties (98.6%); Code: Condominium","Condominium"
"1A-109","F_771899_2960183","10 MUSEUM WAY",199,15,910,0.625,"9/15 nearby properties (62.5%); Code: Department of Conservation and Recreation Division of State Parks and Recreation","Department of Conservation and Recreation Division of State Parks and Recreation"
"1A-172","F_772699_2960058","8 EDUCATION ST",346,6,910,0.800,"4/6 nearby properties (80.0%); Code: Department of Conservation and Recreation Division of State Parks and Recreation","Department of Conservation and Recreation Division of State Parks and Recreation"
"20-15","F_769806_2960797","41 GORE ST",013,181,102,0.702,"127/181 nearby properties (70.2%); Code: Condominium","Condominium"
"20-68","F_770139_2960507","151 CAMBRIDGE ST",013,335,102,0.926,"310/335 nearby properties (92.6%); Code: Condominium","Condominium"
"20-103","F_769853_2960901","208-214 MONSIGNOR OBRIEN HWY",345,178,102,0.688,"122/178 nearby properties (68.8%); Code: Condominium","Condominium"
"21-12","F_769616_2960585","253 CAMBRIDGE ST",010,115,102,0.463,"53/115 nearby properties (46.3%); Code: Condominium","Condominium"
"21-18","F_769408_2960644","305 CAMBRIDGE ST",199,183,102,0.576,"105/183 nearby properties (57.6%); Code: Condominium","Condominium"
"21-19","F_769373_2960649","311 CAMBRIDGE ST",013,191,102,0.592,"113/191 nearby properties (59.2%); Code: Condominium","Condominium"
"21-21","F_769369_2960932","30-32 SCIARAPPA ST",199,194,102,0.551,"106/194 nearby properties (55.1%); Code: Condominium","Condominium"
"21-24","F_769384_2961027","34-44 WINTER ST",199,243,102,0.656,"159/243 nearby properties (65.6%); Code: Condominium","Condominium"
"21-38","F_769725_2960838","25 THIRD ST",199,85,101,0.236,"20/85 nearby properties (23.6%); Code: Single Family","Single Family"
"21-47","F_769461_2960873","67 GORE ST",199,167,102,0.504,"84/167 nearby properties (50.4%); Code: Condominium","Condominium"
"21-55","F_769385_2961140","33 WINTER ST",199,199,102,0.641,"127/199 nearby properties (64.1%); Code: Condominium","Condominium"
"21-81","F_769446_2960754","70 GORE ST",199,173,102,0.531,"91/173 nearby properties (53.1%); Code: Condominium","Condominium"
"21-84","F_769591_2960614","255-261 CAMBRIDGE ST",013,133,102,0.445,"59/133 nearby properties (44.5%); Code: Condominium","Condominium"
"21-104","F_769487_2961130","25 WINTER ST",199,136,102,0.516,"70/136 nearby properties (51.6%); Code: Condominium","Condominium"
"21-110","F_769669_2960571","243 CAMBRIDGE ST",013,102,102,0.434,"44/102 nearby properties (43.4%); Code: Condominium","Condominium"
"21-111","F_769653_2960615","249 CAMBRIDGE ST",345,120,102,0.400,"48/120 nearby properties (40.0%); Code: Condominium","Condominium"
"21-114","F_769373_2960975","26 SCIARAPPA ST",199,253,102,0.664,"167/253 nearby properties (66.4%); Code: Condominium","Condominium"
"22-20","F_769300_2961138","61 WINTER ST",199,243,102,0.702,"170/243 nearby properties (70.2%); Code: Condominium","Condominium"
"22-43","F_768925_2961106","100 WINTER ST",199,206,102,0.738,"152/206 nearby properties (73.8%); Code: Condominium","Condominium"
"22-46","F_769004_2961065","86-94 WINTER ST",199,255,102,0.724,"184/255 nearby properties (72.4%); Code: Condominium","Condominium"
"22-54","F_769279_2961050","60-64 WINTER ST",199,274,102,0.687,"188/274 nearby properties (68.7%); Code: Condominium","Condominium"
"22-142","F_769271_2961001","21-23 SCIARAPPA ST",199,285,102,0.678,"193/285 nearby properties (67.8%); Code: Condominium","Condominium"
"22-60","F_769152_2960938","91 GORE ST",199,300,102,0.658,"197/300 nearby properties (65.8%); Code: Condominium","Condominium"
"22-94","F_769166_2961036","8 MULLINS CT",199,285,102,0.649,"185/285 nearby properties (64.9%); Code: Condominium","Condominium"
"22-117","F_769074_2961079","80 WINTER ST",199,248,102,0.726,"180/248 nearby properties (72.6%); Code: Condominium","Condominium"
"22-128","F_769105_2961313","262 MONSIGNOR OBRIEN HWY",199,150,102,0.628,"94/150 nearby properties (62.8%); Code: Condominium","Condominium"
"22-134","F_769015_2960963","103 GORE ST",199,252,102,0.687,"173/252 nearby properties (68.7%); Code: Condominium","Condominium"
"23-13","F_768777_2960728","429 CAMBRIDGE ST",031,185,102,0.517,"95/185 nearby properties (51.7%); Code: Condominium","Condominium"
"23-17","F_768573_2960784","465-473 CAMBRIDGE ST",013,163,102,0.357,"58/163 nearby properties (35.7%); Code: Condominium","Condominium"
"23-22","F_768435_2960846","10 SIXTH ST",199,249,102,0.681,"169/249 nearby properties (68.1%); Code: Condominium","Condominium"
"23-26","F_768953_2960823","108 GORE ST",199,217,102,0.573,"124/217 nearby properties (57.3%); Code: Condominium","Condominium"
"23-28","F_769036_2960807","100 GORE ST",199,230,102,0.573,"131/230 nearby properties (57.3%); Code: Condominium","Condominium"
"23-29","F_769071_2960801","94.5-96 GORE ST",199,226,102,0.559,"126/226 nearby properties (55.9%); Code: Condominium","Condominium"
"23-30","F_769110_2960794","92-94 GORE ST",199,247,102,0.583,"144/247 nearby properties (58.3%); Code: Condominium","Condominium"
"23-32","F_769172_2960784","88 GORE ST",199,236,102,0.599,"141/236 nearby properties (59.9%); Code: Condominium","Condominium"
"23-38","F_769183_2960680","345 CAMBRIDGE ST",013,223,102,0.624,"139/223 nearby properties (62.4%); Code: Condominium","Condominium"
"23-39","F_769160_2960686","351 CAMBRIDGE ST",010,229,102,0.618,"141/229 nearby properties (61.8%); Code: Condominium","Condominium"
"23-40","F_769124_2960691","359 CAMBRIDGE ST",013,224,102,0.578,"129/224 nearby properties (57.8%); Code: Condominium","Condominium"
"23-46","F_768973_2960716","387-393 CAMBRIDGE ST",013,232,102,0.589,"136/232 nearby properties (58.9%); Code: Condominium","Condominium"
"23-48","F_768936_2960722","397 CAMBRIDGE ST",013,223,102,0.607,"135/223 nearby properties (60.7%); Code: Condominium","Condominium"
"23-49","F_768911_2960726","403 CAMBRIDGE ST",031,219,102,0.606,"132/219 nearby properties (60.6%); Code: Condominium","Condominium"
"23-52","F_768891_2960797","34 FIFTH ST",199,209,102,0.585,"122/209 nearby properties (58.5%); Code: Condominium","Condominium"
"23-53","F_768895_2960823","32 FIFTH ST",199,206,102,0.592,"121/206 nearby properties (59.2%); Code: Condominium","Condominium"
"23-57","F_768487_2960628","478 CAMBRIDGE ST",013,169,102,0.361,"60/169 nearby properties (36.1%); Code: Condominium","Condominium"
"23-61","F_768638_2960611","448 CAMBRIDGE ST",010,177,102,0.380,"67/177 nearby properties (38.0%); Code: Condominium","Condominium"
"23-62","F_768670_2960598","446 CAMBRIDGE ST",013,167,102,0.346,"57/167 nearby properties (34.6%); Code: Condominium","Condominium"
"23-65","F_768764_2960583","424 CAMBRIDGE ST",010,176,102,0.390,"68/176 nearby properties (39.0%); Code: Condominium","Condominium"
"23-67","F_768689_2960494","117-119 OTIS ST",199,167,102,0.323,"53/167 nearby properties (32.3%); Code: Condominium","Condominium"
"23-84","F_769020_2960540","376 CAMBRIDGE ST",031,225,102,0.547,"123/225 nearby properties (54.7%); Code: Condominium","Condominium"
"23-97","F_768984_2960445","99 OTIS ST",199,172,102,0.396,"68/172 nearby properties (39.6%); Code: Condominium","Condominium"
"23-110","F_768931_2960554","392 CAMBRIDGE ST",010,198,102,0.547,"108/198 nearby properties (54.7%); Code: Condominium","Condominium"
"23-111","F_768957_2960551","390 CAMBRIDGE ST",031,206,102,0.560,"115/206 nearby properties (56.0%); Code: Condominium","Condominium"
"23-112","F_768391_2960665","506 CAMBRIDGE ST",010,171,102,0.373,"63/171 nearby properties (37.3%); Code: Condominium","Condominium"
"23-113","F_768416_2960660","500 CAMBRIDGE ST",010,164,102,0.354,"58/164 nearby properties (35.4%); Code: Condominium","Condominium"
"23-156","F_769164_2960535","350 CAMBRIDGE ST",032,144,102,0.455,"65/144 nearby properties (45.5%); Code: Condominium","Condominium"
"23-123","F_768736_2960512","67 FIFTH ST",199,163,102,0.308,"50/163 nearby properties (30.8%); Code: Condominium","Condominium"
"23-125","F_768693_2960763","447 CAMBRIDGE ST",199,169,102,0.453,"76/169 nearby properties (45.3%); Code: Condominium","Condominium"
"23-126","F_768720_2960758","439 CAMBRIDGE ST",010,181,102,0.524,"94/181 nearby properties (52.4%); Code: Condominium","Condominium"
"23-127","F_768741_2960746","435 CAMBRIDGE ST",010,186,102,0.536,"99/186 nearby properties (53.6%); Code: Condominium","Condominium"
"23-131","F_768702_2960607","440 CAMBRIDGE ST",199,168,102,0.346,"58/168 nearby properties (34.6%); Code: Condominium","Condominium"
"23-135","F_768466_2960649","484 CAMBRIDGE ST",010,161,102,0.360,"57/161 nearby properties (36.0%); Code: Condominium","Condominium"
"23-138","F_769218_2960651","337 CAMBRIDGE ST",013,207,102,0.608,"125/207 nearby properties (60.8%); Code: Condominium","Condominium"
"23-141","F_768846_2960576","408 CAMBRIDGE ST",013,201,102,0.525,"105/201 nearby properties (52.5%); Code: Condominium","Condominium"
"23-142","F_768882_2960570","402 CAMBRIDGE ST",010,196,102,0.535,"104/196 nearby properties (53.5%); Code: Condominium","Condominium"
"23-149","F_768477_2960797","485 CAMBRIDGE ST",031,295,102,0.635,"187/295 nearby properties (63.5%); Code: Condominium","Condominium"
"24-22","F_769477_2959570","157 THIRD ST",031,189,102,0.528,"99/189 nearby properties (52.8%); Code: Condominium","Condominium"
"24-32","F_769239_2959638","223 HURLEY ST",199,214,102,0.444,"94/214 nearby properties (44.4%); Code: Condominium","Condominium"
"24-34","F_769190_2959646","227-229 HURLEY ST",199,200,102,0.443,"88/200 nearby properties (44.3%); Code: Condominium","Condominium"
"24-64","F_769335_2959874","73 SPRING ST",199,188,102,0.443,"83/188 nearby properties (44.3%); Code: Condominium","Condominium"
"24-71","F_769239_2960267","82 OTIS ST",199,137,102,0.417,"57/137 nearby properties (41.7%); Code: Condominium","Condominium"
"24-75","F_769394_2960223","70 OTIS ST",199,122,102,0.417,"50/122 nearby properties (41.7%); Code: Condominium","Condominium"
"24-78","F_769497_2960205","62-64 OTIS ST",199,104,102,0.430,"44/104 nearby properties (43.0%); Code: Condominium","Condominium"
"24-80","F_769587_2960230","83 THIRD ST",199,86,102,0.493,"42/86 nearby properties (49.3%); Code: Condominium","Condominium"
"24-86","F_769568_2960110","95 THIRD ST",199,89,102,0.468,"41/89 nearby properties (46.8%); Code: Condominium","Condominium"
"24-87","F_769563_2960069","103 THIRD ST",199,107,102,0.430,"46/107 nearby properties (43.0%); Code: Condominium","Condominium"
"24-98","F_769332_2960497","314 CAMBRIDGE ST",010,149,102,0.479,"71/149 nearby properties (47.9%); Code: Condominium","Condominium"
"24-99","F_769359_2960489","312 CAMBRIDGE ST",031,143,102,0.456,"65/143 nearby properties (45.6%); Code: Condominium","Condominium"
"24-110","F_769607_2960339","57 OTIS ST",199,90,102,0.465,"41/90 nearby properties (46.5%); Code: Condominium","Condominium"
"24-111","F_769583_2960343","59 OTIS ST",199,97,102,0.468,"45/97 nearby properties (46.8%); Code: Condominium","Condominium"
"24-112","F_769558_2960347","61 OTIS ST",199,97,102,0.462,"44/97 nearby properties (46.2%); Code: Condominium","Condominium"
"24-113","F_769522_2960353","63-65 OTIS ST",199,100,102,0.425,"42/100 nearby properties (42.5%); Code: Condominium","Condominium"
"24-140","F_769429_2960217","66-68 OTIS ST",199,113,102,0.426,"48/113 nearby properties (42.6%); Code: Condominium","Condominium"
"25-26","F_768424_2960283","143 THORNDIKE ST",199,159,102,0.302,"48/159 nearby properties (30.2%); Code: Condominium","Condominium"
"25-150","F_768908_2960302","102-104 OTIS ST",199,158,102,0.308,"48/158 nearby properties (30.8%); Code: Condominium","Condominium"
"25-33","F_768959_2960293","100 OTIS ST",199,150,102,0.279,"41/150 nearby properties (27.9%); Code: Condominium","Condominium"
"25-38","F_769086_2960170","89-91 THORNDIKE ST",199,150,101,0.250,"37/150 nearby properties (25.0%); Code: Single Family","Single Family"
"25-86","F_768354_2960143","146 THORNDIKE ST",199,157,101,0.269,"42/157 nearby properties (26.9%); Code: Single Family","Single Family"
"25-99","F_768599_2959999","121 SPRING ST",199,209,102,0.386,"80/209 nearby properties (38.6%); Code: Condominium","Condominium"
"25-102","F_768499_2960009","129 SPRING ST",199,191,102,0.347,"66/191 nearby properties (34.7%); Code: Condominium","Condominium"
"25-110","F_768856_2960335","106 OTIS ST",199,142,102,0.294,"41/142 nearby properties (29.4%); Code: Condominium","Condominium"
"25-113","F_768761_2960042","106-108 FIFTH ST",199,184,102,0.382,"70/184 nearby properties (38.2%); Code: Condominium","Condominium"
"25-118","F_768802_2960282","88 FIFTH ST",199,153,102,0.301,"46/153 nearby properties (30.1%); Code: Condominium","Condominium"
"25-122","F_768679_2960368","118 OTIS ST",199,165,102,0.336,"55/165 nearby properties (33.6%); Code: Condominium","Condominium"
"25-123","F_768306_2960086","58 SIXTH ST",199,143,101,0.273,"39/143 nearby properties (27.3%); Code: Single Family","Single Family"
"25-140","F_769091_2959882","93 SCIARAPPA ST",199,172,102,0.369,"63/172 nearby properties (36.9%); Code: Condominium","Condominium"
"25-148","F_768577_2960242","129 THORNDIKE ST",199,183,102,0.333,"61/183 nearby properties (33.3%); Code: Condominium","Condominium"
"26-23","F_768611_2959768","135 FIFTH ST",199,202,102,0.425,"85/202 nearby properties (42.5%); Code: Condominium","Condominium"
"26-29","F_768393_2959762","329 HURLEY ST",199,192,102,0.364,"69/192 nearby properties (36.4%); Code: Condominium","Condominium"
"26-41","F_768768_2959833","112 SPRING ST",199,203,102,0.434,"88/203 nearby properties (43.4%); Code: Condominium","Condominium"
"26-44","F_768825_2959808","106-108 SPRING ST",199,210,102,0.402,"84/210 nearby properties (40.2%); Code: Condominium","Condominium"
"26-48","F_768926_2959791","98 SPRING ST",199,216,102,0.441,"95/216 nearby properties (44.1%); Code: Condominium","Condominium"
"26-64","F_768916_2959691","259 HURLEY ST",199,229,102,0.465,"106/229 nearby properties (46.5%); Code: Condominium","Condominium"
"26-66","F_768869_2959687","263-265 HURLEY ST",199,212,102,0.473,"100/212 nearby properties (47.3%); Code: Condominium","Condominium"
"26-74","F_768673_2959601","148 FIFTH ST",199,190,102,0.479,"91/190 nearby properties (47.9%); Code: Condominium","Condominium"
"26-81","F_769017_2959522","113 SCIARAPPA ST",199,205,102,0.551,"112/205 nearby properties (55.1%); Code: Condominium","Condominium"
"26-90","F_768803_2959456","177 CHARLES ST",199,187,102,0.580,"108/187 nearby properties (58.0%); Code: Condominium","Condominium"
"26-102","F_768284_2959645","338 HURLEY ST",199,150,102,0.380,"56/150 nearby properties (38.0%); Code: Condominium","Condominium"
"26-180","F_768449_2959616","308-318 HURLEY ST",199,209,102,0.444,"92/209 nearby properties (44.4%); Code: Condominium","Condominium"
"26-129","F_768401_2959523","221 CHARLES ST",199,166,102,0.404,"67/166 nearby properties (40.4%); Code: Condominium","Condominium"
"26-133","F_768832_2959707","269 HURLEY ST",199,220,102,0.447,"98/220 nearby properties (44.7%); Code: Condominium","Condominium"
"26-135","F_769001_2959391","121 SCIARAPPA ST",199,171,102,0.576,"98/171 nearby properties (57.6%); Code: Condominium","Condominium"
"26-140","F_768518_2959544","157.5 FIFTH ST",199,186,102,0.488,"90/186 nearby properties (48.8%); Code: Condominium","Condominium"
"26-147","F_768635_2959866","118 SPRING ST",199,184,102,0.416,"76/184 nearby properties (41.6%); Code: Condominium","Condominium"
"26-152","F_768304_2959793","341 HURLEY ST",199,171,102,0.318,"54/171 nearby properties (31.8%); Code: Condominium","Condominium"
"26-154","F_769054_2959632","241 HURLEY ST",199,197,102,0.477,"93/197 nearby properties (47.7%); Code: Condominium","Condominium"
"26-159","F_768567_2959520","159 FIFTH ST",199,184,102,0.515,"94/184 nearby properties (51.5%); Code: Condominium","Condominium"
"26-169","F_768672_2959441","189 CHARLES ST",199,150,102,0.534,"80/150 nearby properties (53.4%); Code: Condominium","Condominium"
"26-177","F_769071_2959720","101 SCIARAPPA ST",199,189,102,0.438,"82/189 nearby properties (43.8%); Code: Condominium","Condominium"
"26-178","F_769019_2959723","6 FOURTH STREET PL",199,203,102,0.456,"92/203 nearby properties (45.6%); Code: Condominium","Condominium"
"26-179","F_768425_2959876","138 SPRING ST",199,213,102,0.365,"77/213 nearby properties (36.5%); Code: Condominium","Condominium"
"27-6","F_768450_2959260","225-243 BENT ST",199,106,102,0.398,"42/106 nearby properties (39.8%); Code: Condominium","Condominium"
"27-22","F_768952_2959279","152 CHARLES ST",199,122,102,0.569,"69/122 nearby properties (56.9%); Code: Condominium","Condominium"
"27-23","F_768987_2959273","146 CHARLES ST",199,127,102,0.570,"72/127 nearby properties (57.0%); Code: Condominium","Condominium"
"27-29","F_769273_2959246","207 THIRD ST",010,126,102,0.552,"69/126 nearby properties (55.2%); Code: Condominium","Condominium"
"27-51","F_769175_2959242","124 CHARLES ST",199,123,102,0.505,"62/123 nearby properties (50.5%); Code: Condominium","Condominium"
"27-70","F_768654_2959226","190 FIFTH ST",407,113,102,0.515,"58/113 nearby properties (51.5%); Code: Condominium","Condominium"
"27-97","F_769087_2958952","249-255 THIRD ST",013,60,102,0.413,"24/60 nearby properties (41.3%); Code: Condominium","Condominium"
"27-86","F_768971_2959195","205 BENT ST",406,212,102,0.575,"121/212 nearby properties (57.5%); Code: Condominium","Condominium"
"27-88","F_768499_2959382","200-212 CHARLES ST",199,124,102,0.378,"46/124 nearby properties (37.8%); Code: Condominium","Condominium"
"28-23","F_768276_2958833","225 BINNEY ST",346,219,102,0.962,"210/219 nearby properties (96.2%); Code: Condominium","Condominium"
"28-39","F_768663_2958491","182 BINNEY ST",040,210,102,0.950,"199/210 nearby properties (95.0%); Code: Condominium","Condominium"
"29-34","F_768634_2958190","303 THIRD ST",199,22,132,0.375,"8/22 nearby properties (37.5%); Code: Undevelopable Land","Undevelopable Land"
"30-38","F_767799_2958360","115R BROADWAY",346,15,424,0.286,"4/15 nearby properties (28.6%); Code: Electricity Regulating Substations","Electricity Regulating Substations"
"30-40","F_767718_2958245","115 BROADWAY",406,21,424,0.222,"4/21 nearby properties (22.2%); Code: Electricity Regulating Substations","Electricity Regulating Substations"
"30-41","F_767503_2958665","300 BINNEY ST",346,33,413,0.556,"18/33 nearby properties (55.6%); Code: Other","Other"
"30-42","F_767382_2958481","125 BROADWAY",406,39,413,0.550,"21/39 nearby properties (55.0%); Code: Other","Other"
"31-13","F_767763_2958919","301 BINNEY ST",041,17,941,0.125,"2/17 nearby properties (12.5%); Code: Secondary Level","Secondary Level"
"31-15","F_767643_2959196","320 BENT ST",406,9,930,0.400,"3/9 nearby properties (40.0%); Code: Vacant Selectmen or City Council","Vacant Selectmen or City Council"
"31-20","F_767383_2959401","325 BINNEY ST",406,189,102,0.554,"104/189 nearby properties (55.4%); Code: Condominium","Condominium"
"32-53","F_767847_2959413","117 SIXTH ST",406,93,102,0.450,"41/93 nearby properties (45.0%); Code: Condominium","Condominium"
"32-90","F_768110_2959629","89-91 SIXTH ST",199,89,102,0.305,"27/89 nearby properties (30.5%); Code: Condominium","Condominium"
"33-20","F_768015_2960089","113 SEVENTH ST",199,95,104,0.333,"31/95 nearby properties (33.3%); Code: Two-Family","Two-Family"
"33-32","F_768208_2960190","154-156 THORNDIKE ST",199,140,102,0.254,"35/140 nearby properties (25.4%); Code: Condominium","Condominium"
"33-33","F_768198_2960129","55 SIXTH ST",199,136,101,0.262,"35/136 nearby properties (26.2%); Code: Single Family","Single Family"
"33-88","F_767539_2959957","81 FULKERSON ST",407,168,102,0.607,"102/168 nearby properties (60.7%); Code: Condominium","Condominium"
"33-94","F_767864_2960172","49-51 EIGHTH ST",199,184,102,0.631,"116/184 nearby properties (63.1%); Code: Condominium","Condominium"
"33-105","F_767526_2960181","63-71 FULKERSON ST",199,248,102,0.471,"116/248 nearby properties (47.1%); Code: Condominium","Condominium"
"34-2","F_767729_2960774","642 CAMBRIDGE ST",010,327,102,0.809,"264/327 nearby properties (80.9%); Code: Condominium","Condominium"
