PROP_ID,LOC_ID,SITE_ADDR,current_use_code,nearby_count,suggestion_1_code,suggestion_1_confidence,suggestion_1_reason,suggestion_1_description
"8-61-C1","F_771134_2959927","4 CANAL PK #C1",343,12,910,0.500,"6/12 nearby properties (50.0%); Code: Department of Conservation and Recreation Division of State Parks and Recreation","Department of Conservation and Recreation Division of State Parks and Recreation"
"8-75","F_770663_2960201","2 FIRST ST",346,813,102,0.994,"807/813 nearby properties (99.4%); Code: Condominium","Condominium"
"8-76","F_770535_2959983","1 CANAL PK",406,377,102,0.986,"371/377 nearby properties (98.6%); Code: Condominium","Condominium"
"8-86","F_770499_2959722","60 FIRST ST",406,211,102,0.965,"203/211 nearby properties (96.5%); Code: Condominium","Condominium"
"9-41","F_770936_2959638","10 CANAL PK",346,176,102,0.977,"171/176 nearby properties (97.7%); Code: Condominium","Condominium"
"10-16","F_769987_2959054","150 SECOND ST",406,62,102,0.520,"32/62 nearby properties (52.0%); Code: Condominium","Condominium"
"11-40","F_770795_2958614","43-57 CAMBRIDGE PKWY",346,385,102,0.989,"380/385 nearby properties (98.9%); Code: Condominium","Condominium"
"11-43-1A","F_770323_2958499","10 ROGERS ST #1A",343,221,102,0.953,"210/221 nearby properties (95.3%); Code: Condominium","Condominium"
"11-43-1B","F_770323_2958499","10 ROGERS ST #1B",343,221,102,0.953,"210/221 nearby properties (95.3%); Code: Condominium","Condominium"
"11-43-1C","F_770323_2958499","10 ROGERS ST #1C",343,221,102,0.953,"210/221 nearby properties (95.3%); Code: Condominium","Condominium"
"11-43-101","F_770323_2958499","10 ROGERS ST #101",343,221,102,0.953,"210/221 nearby properties (95.3%); Code: Condominium","Condominium"
"11-43-102","F_770323_2958499","10 ROGERS ST #102",343,221,102,0.953,"210/221 nearby properties (95.3%); Code: Condominium","Condominium"
"11-43-118","F_770323_2958499","10 ROGERS ST #118",343,221,102,0.953,"210/221 nearby properties (95.3%); Code: Condominium","Condominium"
"11-43-120","F_770323_2958499","10 ROGERS ST #120",343,221,102,0.953,"210/221 nearby properties (95.3%); Code: Condominium","Condominium"
"11-43-121","F_770323_2958499","10 ROGERS ST #121",343,221,102,0.953,"210/221 nearby properties (95.3%); Code: Condominium","Condominium"
"12-17-NR1","F_770453_2958127","75-83 CAMBRIDGE PKWY #NR1",343,182,102,0.970,"176/182 nearby properties (97.0%); Code: Condominium","Condominium"
"13-16","F_769848_2957813","239 FIRST ST",346,224,102,0.962,"215/224 nearby properties (96.2%); Code: Condominium","Condominium"
"13-23","F_769596_2957314","1 MAIN ST",346,17,340,0.222,"3/17 nearby properties (22.2%); Code: General Office Buildings","General Office Buildings"
"14-58","F_768741_2957503","1 BROADWAY",346,213,102,0.965,"205/213 nearby properties (96.5%); Code: Condominium","Condominium"
"14-36","F_769123_2957448","101 MAIN ST",346,215,102,0.960,"206/215 nearby properties (96.0%); Code: Condominium","Condominium"
"14-1038","F_768990_2957758","350 THIRD ST",199,210,102,0.960,"201/210 nearby properties (96.0%); Code: Condominium","Condominium"
"15-30","F_769436_2958366","100 BINNEY ST",406,21,132,0.308,"6/21 nearby properties (30.8%); Code: Undevelopable Land","Undevelopable Land"
"15-28","F_769909_2958286","54-64 BINNEY ST",406,394,102,0.974,"383/394 nearby properties (97.4%); Code: Condominium","Condominium"
"15-29","F_769136_2958414","300 THIRD ST",406,209,102,0.964,"201/209 nearby properties (96.4%); Code: Condominium","Condominium"
"16-6","F_770075_2958769","153-159 FIRST ST",013,193,102,0.921,"177/193 nearby properties (92.1%); Code: Condominium","Condominium"
"16-32","F_769451_2958638","75-125 BINNEY ST",406,28,340,0.412,"11/28 nearby properties (41.2%); Code: General Office Buildings","General Office Buildings"
"17-1","F_769136_2959519","232-238 HURLEY ST",199,196,102,0.491,"96/196 nearby properties (49.1%); Code: Condominium","Condominium"
"17-91","F_769246_2959470","226 HURLEY ST",199,196,102,0.432,"84/196 nearby properties (43.2%); Code: Condominium","Condominium"
"17-6","F_769308_2959474","208-218 HURLEY ST",199,188,102,0.447,"84/188 nearby properties (44.7%); Code: Condominium","Condominium"
"17-7","F_769365_2959490","206 HURLEY ST",199,167,102,0.465,"77/167 nearby properties (46.5%); Code: Condominium","Condominium"
"17-89","F_769289_2959364","117 CHARLES ST",199,154,102,0.485,"74/154 nearby properties (48.5%); Code: Condominium","Condominium"
"17-17","F_769222_2959386","121 CHARLES ST",013,182,102,0.497,"90/182 nearby properties (49.7%); Code: Condominium","Condominium"
"17-20","F_769098_2959388","139 CHARLES ST",199,169,102,0.510,"86/169 nearby properties (51.0%); Code: Condominium","Condominium"
"17-61","F_769722_2959425","66 HURLEY ST",199,111,102,0.516,"57/111 nearby properties (51.6%); Code: Condominium","Condominium"
"17-62","F_769754_2959419","62-64 HURLEY ST",199,105,102,0.523,"54/105 nearby properties (52.3%); Code: Condominium","Condominium"
"17-67","F_769801_2959352","121 SECOND ST",199,95,102,0.603,"57/95 nearby properties (60.3%); Code: Condominium","Condominium"
"17-69","F_769786_2959264","131-137 SECOND ST",199,78,102,0.578,"45/78 nearby properties (57.8%); Code: Condominium","Condominium"
"17-76","F_769404_2959236","202 THIRD ST",013,117,102,0.577,"67/117 nearby properties (57.7%); Code: Condominium","Condominium"
