PROP_ID,LOC_ID,SITE_ADDR,current_use_code,nearby_count,suggestion_1_code,suggestion_1_confidence,suggestion_1_reason,suggestion_1_description
"35-85-C2","F_768007_2961024","599 CAMBRIDGE ST #C2",327,197,102,0.385,"75/197 nearby properties (38.5%); Code: Condominium","Condominium"
"35-100","F_767715_2961122","3 LAMBERT ST",199,285,102,0.727,"207/285 nearby properties (72.7%); Code: Condominium","Condominium"
"36-11","F_766652_2961415","25 HUNTING ST",199,100,102,0.325,"32/100 nearby properties (32.5%); Code: Condominium","Condominium"
"36-14","F_766569_2961360","145 WILLOW ST",199,87,102,0.314,"27/87 nearby properties (31.4%); Code: Condominium","Condominium"
"36-16","F_766550_2961280","135 WILLOW ST",199,87,102,0.314,"27/87 nearby properties (31.4%); Code: Condominium","Condominium"
"36-18","F_766556_2961240","127-129 WILLOW ST",199,88,102,0.324,"28/88 nearby properties (32.4%); Code: Condominium","Condominium"
"36-22","F_766519_2961160","119 WILLOW ST",199,71,102,0.281,"19/71 nearby properties (28.1%); Code: Condominium","Condominium"
"36-26","F_766563_2961127","877 CAMBRIDGE ST",199,81,102,0.318,"25/81 nearby properties (31.8%); Code: Condominium","Condominium"
"36-69","F_767412_2961424","7 PORTER ST",199,68,102,0.240,"16/68 nearby properties (24.0%); Code: Condominium","Condominium"
"36-71","F_766899_2961436","34 HARDING ST",1098,121,102,0.337,"40/121 nearby properties (33.7%); Code: Condominium","Condominium"
"36-73","F_767025_2961404","68 PORTER ST",1094,128,102,0.323,"41/128 nearby properties (32.3%); Code: Condominium","Condominium"
"36-82","F_767394_2961340","10 PORTER ST",1094,81,102,0.218,"17/81 nearby properties (21.8%); Code: Condominium","Condominium"
"36-86","F_767433_2961263","33 WARREN ST",199,76,105,0.216,"16/76 nearby properties (21.6%); Code: Three-Family","Three-Family"
"36-89","F_767381_2961261","5-7 JEFFERSON ST",199,82,105,0.204,"16/82 nearby properties (20.4%); Code: Three-Family","Three-Family"
"36-92","F_767285_2961278","15 JEFFERSON ST",1061,104,102,0.324,"33/104 nearby properties (32.4%); Code: Condominium","Condominium"
"36-93","F_767253_2961283","19 JEFFERSON ST",1094,116,102,0.361,"41/116 nearby properties (36.1%); Code: Condominium","Condominium"
